time,
2023/6/1 0:30,13012.12774
2023/6/1 0:35,13015.03777
2023/6/1 0:40,13014.82351
2023/6/1 0:45,13016.0611
2023/6/1 0:50,13016.5358
2023/6/1 0:55,13015.25622
2023/6/1 1:00,13015.25622
2023/6/1 1:05,13024.08174
2023/6/1 1:10,13024.08174
2023/6/1 1:15,13024.08174
2023/6/1 1:20,13021.94354
2023/6/1 1:25,13022.08865
2023/6/1 1:30,13021.96693
2023/6/1 1:35,13021.78508
2023/6/1 1:40,13019.90409
2023/6/1 1:45,13022.60105
2023/6/1 1:50,13020.8794
2023/6/1 1:55,13020.8794
2023/6/1 2:00,13023.4231
2023/6/1 2:05,13023.51036
2023/6/1 2:10,13023.56521
2023/6/1 2:15,13024.2575
2023/6/1 2:20,13024.2575
2023/6/1 2:25,13024.2575
2023/6/1 2:30,13025.50176
2023/6/1 2:35,13025.21387
2023/6/1 2:40,13021.73531
2023/6/1 2:45,12980.76857
2023/6/1 2:50,12997.37813
2023/6/1 2:55,12993.36985
2023/6/1 3:00,13009.1628
2023/6/1 3:05,13008.40788
2023/6/1 3:10,13023.35204
2023/6/1 3:15,13021.85545
2023/6/1 3:20,13020.64648
2023/6/1 3:25,13026.58876
2023/6/1 3:30,13025.83834
2023/6/1 3:35,13027.87639
2023/6/1 3:40,13026.38655
2023/6/1 3:45,13026.38655
2023/6/1 3:50,13027.23633
2023/6/1 3:55,13026.44638
2023/6/1 4:00,13029.42195
2023/6/1 4:05,13028.68114
2023/6/1 4:10,13027.07746
2023/6/1 4:15,13026.97981
2023/6/1 4:20,13027.70567
2023/6/1 4:25,13025.62543
2023/6/1 4:30,13025.13372
2023/6/1 4:35,13022.6911
2023/6/1 4:40,13028.67054
2023/6/1 4:45,13027.21938
2023/6/1 4:50,13025.65026
2023/6/1 4:55,13029.73645
2023/6/1 5:00,13029.73645
2023/6/1 5:05,13033.01452
2023/6/1 5:10,13033.01452
2023/6/1 5:15,13026.90229
2023/6/1 5:20,13027.18029
2023/6/1 5:25,13028.24493
2023/6/1 5:30,13028.60255
2023/6/1 5:35,13028.60255
2023/6/1 5:40,13029.32032
2023/6/1 5:45,13029.47167
2023/6/1 5:50,13027.74587
2023/6/1 5:55,13028.58044
2023/6/1 6:00,13028.65772
2023/6/1 6:05,13028.6063
2023/6/1 6:10,13028.57432
2023/6/1 6:15,13029.67203
2023/6/1 6:20,13029.34855
2023/6/1 6:25,13029.11762
2023/6/1 6:30,13031.14161
2023/6/1 6:35,13032.06626
2023/6/1 6:40,13033.32862
2023/6/1 6:45,13033.20128
2023/6/1 6:50,13031.47057
2023/6/1 6:55,13031.47057
2023/6/1 7:00,13032.32767
2023/6/1 7:05,13030.17886
2023/6/1 7:10,13034.89115
2023/6/1 7:15,13033.98591
2023/6/1 7:20,13034.6736
2023/6/1 7:25,13025.2855
2023/6/1 7:30,13032.96914
2023/6/1 7:35,13035.12488
2023/6/1 7:40,13035.39015
2023/6/1 7:45,13037.96032
2023/6/1 7:50,13037.96032
2023/6/1 7:55,13037.96032
2023/6/1 8:00,13036.70379
2023/6/1 8:05,13036.70379
2023/6/1 8:10,13038.12298
2023/6/1 8:15,13038.39352
2023/6/1 8:20,13038.12866
2023/6/1 8:25,13039.36175
2023/6/1 8:30,13041.39031
2023/6/1 8:35,13039.56651
2023/6/1 8:40,13041.00314
2023/6/1 8:45,13041.00314
2023/6/1 8:50,13041.00314
2023/6/1 8:55,13043.27779
2023/6/1 9:00,13043.27779
2023/6/1 9:05,13042.75984
2023/6/1 9:10,13042.83023
2023/6/1 9:15,13044.60504
2023/6/1 9:20,13046.73559
2023/6/1 9:25,13045.72313
2023/6/1 9:30,13042.80501
2023/6/1 9:35,13043.25244
2023/6/1 9:40,13044.58691
2023/6/1 9:45,13044.01368
2023/6/1 9:50,13045.03543
2023/6/1 9:55,13046.00256
2023/6/1 10:00,13045.88261
2023/6/1 10:05,13045.89725
2023/6/1 10:10,13050.29681
2023/6/1 10:15,13050.3436
2023/6/1 10:20,13048.91122
2023/6/1 10:25,13046.8246
2023/6/1 10:30,13047.52221
2023/6/1 10:35,13047.52221
2023/6/1 10:40,13047.02945
2023/6/1 10:45,13047.02945
2023/6/1 10:50,13046.40557
2023/6/1 10:55,13048.23205
2023/6/1 11:00,13048.23205
2023/6/1 11:05,13048.23205
2023/6/1 11:10,13047.26868
2023/6/1 11:15,13047.68904
2023/6/1 11:20,13047.07604
2023/6/1 11:25,13043.75697
2023/6/1 11:30,13045.74369
