,time,pnl,equity
20,2023-08-13 20:20:00,0.993761834,467.4329259
21,2023-08-13 20:45:00,0.993761834,467.4329259
22,2023-08-13 20:55:00,0.993761834,467.4329259
24,2023-08-13 21:00:00,0.993761834,467.4329259
25,2023-08-13 21:15:00,1.284012634,467.7231767
26,2023-08-13 21:30:00,1.284012634,466.7231767
27,2023-08-13 21:45:00,2.027631268,466.4667954
28,2023-08-13 22:00:00,1.892323276,466.3314874
29,2023-08-13 22:15:00,4.203590686,466.6427548
32,2023-08-13 22:30:00,3.032585526,466.4717496
33,2023-08-13 22:45:00,-2.357231054,466.0819331
