,time,pnl,equity
19,2023-08-13 01:00:00,-0.51402918,1702.390654
20,2023-08-13 01:15:00,4.75589562,1707.660579
21,2023-08-13 01:30:00,4.75589562,1707.660579
22,2023-08-13 01:45:00,-7.6381026,1702.266581
23,2023-08-13 02:00:00,-7.6381026,1703.266581
24,2023-08-13 02:15:00,-8.4447846,1703.459899
25,2023-08-13 02:30:00,21.9214107,1703.826094
26,2023-08-13 02:45:00,21.8686107,1703.773294
27,2023-08-13 03:00:00,14.0711511,1701.975834
28,2023-08-13 03:15:00,26.07161025,1701.976294
31,2023-08-13 17:00:00,12.27778825,1715.182472
32,2023-08-13 17:15:00,12.92578825,1715.830472
33,2023-08-13 17:30:00,-35.66775193,1667.236931
34,2023-08-13 17:45:00,-31.86652443,1671.038159
35,2023-08-13 18:00:00,-33.73189043,1669.172793
36,2023-08-13 18:15:00,-33.81109043,1669.093593
37,2023-08-13 18:30:00,-50.00304743,1652.901636
38,2023-08-13 18:45:00,-129.5608044,1573.343879
39,2023-08-13 19:00:00,-155.0528164,1547.851867
40,2023-08-13 19:15:00,-178.1171163,1524.787567
41,2023-08-13 19:30:00,-202.1737668,1500.730916
42,2023-08-13 19:45:00,-232.0024976,1470.902186
43,2023-08-13 20:00:00,-263.3555874,1439.549096
44,2023-08-13 20:15:00,-184.4048034,1518.49988
45,2023-08-13 20:30:00,-157.6275848,1545.277098
46,2023-08-13 20:45:00,-122.6459717,1580.258712
47,2023-08-13 21:00:00,-122.8355717,1580.069112
48,2023-08-13 21:15:00,-75.27419515,1627.630488
49,2023-08-13 21:30:00,30.31925055,1733.223934
50,2023-08-13 21:45:00,182.1609932,1885.065676
51,2023-08-13 22:00:00,191.2550544,1894.159738
52,2023-08-13 22:15:00,375.4166462,2078.321329
53,2023-08-13 22:30:00,386.4549846,2089.359668
54,2023-08-13 22:45:00,760.4992157,2463.403899
55,2023-08-13 23:00:00,762.6478117,2465.552495
56,2023-08-13 23:15:00,724.1587801,2427.063463
57,2023-08-13 23:30:00,552.0181167,2254.9228
58,2023-08-13 23:45:00,554.4136253,2257.318309
59,2023-08-14 00:00:00,603.7743374,2306.679021
60,2023-08-14 00:15:00,428.5619131,2131.466596
61,2023-08-14 00:30:00,385.5144715,2088.419155
62,2023-08-14 00:45:00,746.9689673,2449.873651
63,2023-08-14 01:00:00,452.4040946,2155.308778
